w,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0132194114846602,0,2,[0.22944195 0.46754682 1.        ],[1.],"[1.0, 0.4675468209432909, 0.22944194936392]",,,,,,,
0.0132194114846602,1,0,[1.],[-0.46754682  1.        ],"[1.0, 0.4675468209432909, 0.21860002977417775]",2.13882322626527,-2.13882322626527,[1],,,0.0,[]
0.0132194114846602,1,1,[-0.02318895  1.        ],[-0.49073577  1.        ],"[1.0, 0.4675468209432909, 0.22944194936392]",2.037756488033104,-1.9414655000599834,[1],,,0.04725343216355701,[0.04725343]
0.0132194114846602,2,0,[1.],[-0.01084192 -0.46754682  1.        ],"[1.0, 0.4675468209432909, 0.22944194936392]",2.0421194655527066,-1.9537820698095008,[1],-45.16610844861485,1.9537820698095008,0.04138647342073087,[]
0.0145082877849593,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0145082877849593,0,1,[0.46014385 1.        ],[1.],"[1.0, 0.460143845123951, 0.0]",,,,,,,
0.0145082877849593,0,2,[0.22236197 0.46014385 1.        ],[1.],"[1.0, 0.460143845123951, 0.222361965372879]",,,,,,,
0.0145082877849593,1,0,[1.],[-0.46014385  1.        ],"[1.0, 0.460143845123951, 0.2117323582054546]",2.173233458616893,-2.173233458616893,[1],,,0.0,[]
0.0145082877849593,1,1,[-0.02310062  1.        ],[-0.48324446  1.        ],"[1.0, 0.460143845123951, 0.222361965372879]",2.0693460068691842,-1.9704247047948298,[1],,,0.04780317150731956,[0.04780317]
0.0145082877849593,2,0,[1.],[-0.01062961 -0.46014385  1.        ],"[1.0, 0.460143845123951, 0.222361965372879]",2.073878360270448,-1.9832106554578521,[1],-45.36276362915533,1.9832106554578521,0.04180756841725716,[]
0.0159228279334109,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0159228279334109,0,1,[0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.0]",,,,,,,
0.0159228279334109,0,2,[0.21541754 0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.2154175443507776]",,,,,,,
0.0159228279334109,1,0,[1.],[-0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.20497436668954253]",2.2087686186230977,-2.2087686186230977,[1],,,0.0,[]
0.0159228279334109,1,1,[-0.02306656  1.        ],[-0.47580751  1.        ],"[1.0, 0.4527409487660052, 0.2154175443507776]",2.1016902320118334,-1.9998028739141938,[1],,,0.04847877034671691,[0.04847877]
0.0159228279334109,2,0,[1.],[-0.01044318 -0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.2154175443507776]",2.106421966720393,-2.013140061426636,[1],-45.459217777766824,2.013140061426636,0.042323409760507975,[]
0.0174752840000768,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0174752840000768,0,1,[0.44533812 1.        ],[1.],"[1.0, 0.4453381214298439, 0.0]",,,,,,,
0.0174752840000768,0,2,[0.20858454 0.44533812 1.        ],[1.],"[1.0, 0.4453381214298439, 0.2085845359486588]",,,,,,,
0.0174752840000768,1,0,[1.],[-0.44533812  1.        ],"[1.0, 0.4453381214298439, 0.19832604239866242]",2.245484839225771,-2.245484839225771,[1],,,0.0,[]
0.0174752840000768,1,1,[-0.02303529  1.        ],[-0.46837341  1.        ],"[1.0, 0.4453381214298439, 0.2085845359486588]",2.1350485998610167,-2.030043776799761,[1],,,0.04918146737647625,[0.04918147]
