w,residues,poles,poly_type,pole_2,res_2,remainder
0.0533669923120631,,,0_1,,,
0.0533669923120631,,,0_2,,,
0.0533669923120631,-2.804873639515108,2.804873639515108,1_0,,,0.0
0.0533669923120631,-2.4720531226727487,2.6332103294772717,1_1,,,0.0612017980487394
0.0533669923120631,-2.4980202672315857,2.6425688772004507,2_0,-45.66761737953775,2.4980202672315857,0.0517079411359786
0.0585702081805666,,,0_0,,,
0.0585702081805666,,,0_1,,,
0.0585702081805666,,,0_2,,,
0.0585702081805666,-2.864310896528533,2.864310896528533,1_0,,,0.0
0.0585702081805666,-2.517841396724632,2.685494469994117,1_1,,,0.0624291262345635
0.0585702081805666,-2.545331095786281,2.695416666496949,2_0,-45.712108264966005,2.545331095786281,0.052581310434484
0.0642807311728432,,,0_0,,,
0.0642807311728432,,,0_1,,,
0.0642807311728432,,,0_2,,,
0.0642807311728432,-2.9263137321944472,2.9263137321944472,1_0,,,0.0
0.0642807311728432,-2.5652641993364247,2.7398481441906544,1_1,,,0.0637202996904784
0.0642807311728432,-2.5944091933379627,2.750384452110222,2_0,-45.74842679496594,2.5944091933379627,0.0534942842231905
0.0705480231071864,,,0_0,,,
0.0705480231071864,,,0_1,,,
0.0705480231071864,,,0_2,,,
0.0705480231071864,-2.9910504595416105,2.9910504595416105,1_0,,,0.0
0.0705480231071864,-2.6143795957481726,2.796380033414411,1_1,,,0.0650843002351199
0.0705480231071864,-2.645331253414213,2.807588152866601,2_0,-45.77309632169329,2.645331253414213,0.0544523256933418
0.0774263682681127,,,0_0,,,
0.0774263682681127,,,0_1,,,
0.0774263682681127,,,0_2,,,
0.0774263682681127,-3.058704176093144,3.058704176093144,1_0,,,0.0
0.0774263682681127,-2.6656766549098925,2.855436274282249,1_1,,,0.0664555609527847
0.0774263682681127,-2.6985407707360443,2.8673568698354157,2_0,-45.83496158708367,2.6985407707360443,0.0554088769536322
0.0849753435908644,,,0_0,,,
0.0849753435908644,,,0_1,,,
0.0849753435908644,,,0_2,,,
0.0849753435908644,-3.129474381428364,3.129474381428364,1_0,,,0.0
0.0849753435908644,-2.718914644639657,2.916980240881006,1_1,,,0.0679009043206708
0.0849753435908644,-2.7538661277470613,2.92968033491423,2_0,-45.88905282140118,2.7538661277470613,0.0564100284808559
0.093260334688322,,,0_0,,,
0.093260334688322,,,0_1,,,
0.093260334688322,,,0_2,,,
0.093260334688322,-3.2035787987201174,3.2035787987201174,1_0,,,0.0
0.093260334688322,-2.774305123792759,2.981225431892576,1_1,,,0.069407803209453
0.093260334688322,-2.8115220318129897,2.9947735298237164,2_0,-45.94708283856361,2.8115220318129897,0.0574461665419993
0.1023531021899026,,,0_0,,,
0.1023531021899026,,,0_1,,,
0.1023531021899026,,,0_2,,,
0.1023531021899026,-3.281255428210585,3.281255428210585,1_0,,,0.0
0.1023531021899026,-2.8320531487432032,3.0483913409033483,1_1,,,0.0709679853952204
0.1023531021899026,-2.8717205299141244,3.062858896642389,2_0,-46.01731679659365,2.8717205299141244,0.0585108037889499
0.1123324032978027,,,0_0,,,
0.1123324032978027,,,0_1,,,
0.1123324032978027,,,0_2,,,
0.1123324032978027,-3.362764893451799,3.362764893451799,1_0,,,0.0
0.1123324032978027,-2.892188397446767,3.118613411146468,1_1,,,0.0726043865810421
0.1123324032978027,-2.934530935299016,3.134087353151815,2_0,-46.08759964080711,2.934530935299016,0.0596186582483281
0.1232846739442066,,,0_0,,,
0.1232846739442066,,,0_1,,,
0.1232846739442066,,,0_2,,,
0.1232846739442066,-3.4483930835535013,3.4483930835535013,1_0,,,0.0
0.1232846739442066,-2.954844354307363,3.192094114272106,1_1,,,0.0743241744984838
0.1232846739442066,-3.000114821075833,3.2086725648385244,2_0,-46.15693449726293,3.000114821075833,0.0607733804894107
0.1353047774579807,,,0_0,,,
0.1353047774579807,,,0_1,,,
0.1353047774579807,,,0_2,,,
0.1353047774579807,-3.538454165625511,3.538454165625511,1_0,,,0.0
0.1353047774579807,-3.020224610407203,3.2690864708386123,1_1,,,0.0761258114923982
0.1353047774579807,-3.068697478598117,3.286876391185336,2_0,-46.230083258215714,3.068697478598117,0.0619726554361508
0.1484968262254465,,,0_0,,,
0.1484968262254465,,,0_1,,,
0.1484968262254465,,,0_2,,,
0.1484968262254465,-3.6332940295512985,3.6332940295512985,1_0,,,0.0
0.1484968262254465,-3.0885322906530828,3.349857598720615,1_1,,,0.0780108707209935
0.1484968262254465,-3.140509611633058,3.36897714374839,2_0,-46.30988483725955,3.140509611633058,0.0632162148326518
0.1629750834620644,,,0_0,,,
0.1629750834620644,,,0_1,,,
0.1629750834620644,,,0_2,,,
0.1629750834620644,-3.733294200077738,3.733294200077738,1_0,,,0.0
0.1629750834620644,-3.159926017503082,3.434666428318622,1_1,,,0.0799904201905377
0.1629750834620644,-3.21575223882472,3.455250813948358,2_0,-46.39372294770169,3.21575223882472,0.0645098985226988
0.1788649529057435,,,0_0,,,
0.1788649529057435,,,0_1,,,
0.1788649529057435,,,0_2,,,
0.1788649529057435,-3.8388763611860246,3.8388763611860246,1_0,,,0.0
0.1788649529057435,-3.234731519641997,3.523880583325293,1_1,,,0.0820541607032671
0.1788649529057435,-3.2947716307576305,3.546073746028958,2_0,-46.49186166370349,3.2947716307576305,0.0658454751136033
0.1963040650040271,,,0_0,,,
0.1963040650040271,,,0_1,,,
0.1963040650040271,,,0_2,,,
0.1963040650040271,-3.950507343074719,3.950507343074719,1_0,,,0.0
0.1963040650040271,-3.3130978295794686,3.61779177179652,1_1,,,0.0842209727470707
0.1963040650040271,-3.377778050959241,3.641762370350517,2_0,-46.59771091610453,3.377778050959241,0.0672335482440242
0.2154434690031884,,,0_0,,,
0.2154434690031884,,,0_1,,,
0.2154434690031884,,,0_2,,,
0.2154434690031884,-4.0687053408048,4.0687053408048,1_0,,,0.0
0.2154434690031884,-3.395297345056985,3.7167814626977616,1_1,,,0.0864952973068891
0.2154434690031884,-3.465093670014344,3.742718673893413,2_0,-46.71362667031841,3.465093670014344,0.0686750823186968
0.2364489412645408,,,0_0,,,
0.2364489412645408,,,0_1,,,
0.2364489412645408,,,0_2,,,
0.2364489412645408,-4.194046415993131,4.194046415993131,1_0,,,0.0
0.2364489412645408,-3.4816065316713845,3.821258875822816,1_1,,,0.0888849343080151
0.2364489412645408,-3.557056056608524,3.849377106918382,2_0,-46.84045209135743,3.557056056608524,0.0701729738069331
0.2595024211399737,,,0_0,,,
0.2595024211399737,,,0_1,,,
0.2595024211399737,,,0_2,,,
0.2595024211399737,-4.327172499339911,4.327172499339911,1_0,,,0.0
0.2595024211399737,-3.572297373356586,3.931659567339576,1_1,,,0.091402164360369
0.2595024211399737,-3.654013524128941,3.9622048119997872,2_0,-46.97715522212708,3.654013524128941,0.071732615440809
0.2848035868435802,,,0_0,,,
0.2848035868435802,,,0_1,,,
0.2848035868435802,,,0_2,,,
0.2848035868435802,-4.468800437294212,4.468800437294212,1_0,,,0.0
0.2848035868435802,-3.667741596682362,4.048506545769231,1_1,,,0.0940507184025121
0.2848035868435802,-3.7564111412787295,4.081755609675318,2_0,-47.12774839457569,3.7564111412787295,0.0733537887999638
0.3125715849688237,,,0_0,,,
0.3125715849688237,,,0_1,,,
0.3125715849688237,,,0_2,,,
0.3125715849688237,-4.619732522389171,4.619732522389171,1_0,,,0.0
0.3125715849688237,-3.768325569326112,4.172368174977674,1_1,,,0.0968377163057343
0.3125715849688237,-3.864724236094212,4.208635332061383,2_0,-47.29482462017657,3.864724236094212,0.075038147722079
0.3430469286314919,,,0_0,,,
0.3430469286314919,,,0_1,,,
0.3430469286314919,,,0_2,,,
0.3430469286314919,-4.780868705266247,4.780868705266247,1_0,,,0.0
0.3430469286314919,-3.874441893849129,4.303858501470023,1_1,,,0.0997747968420018
0.3430469286314919,-3.979455066628895,4.343504346973128,2_0,-47.479232383436965,3.979455066628895,0.0767897513273109
0.3764935806792469,,,0_0,,,
0.3764935806792469,,,0_1,,,
0.3764935806792469,,,0_2,,,
0.3764935806792469,-4.953220827029672,4.953220827029672,1_0,,,0.0
0.3764935806792469,-3.986585176600504,4.443696290867028,1_1,,,0.1028673168339628
0.3764935806792469,-4.101212269906016,4.487130185597837,2_0,-47.6854601084008,4.101212269906016,0.0786085614456787
0.4132012400115338,,,0_0,,,
0.4132012400115338,,,0_1,,,
0.4132012400115338,,,0_2,,,
0.4132012400115338,-5.137929220142122,5.137929220142122,1_0,,,0.0
0.4132012400115338,-4.105231577010887,4.592645128351891,1_1,,,0.1061291560133923
0.4132012400115338,-4.230619530538877,4.640339562449223,2_0,-47.914452924590265,4.230619530538877,0.0804992148257875
0.4534878508128584,,,0_0,,,
0.4534878508128584,,,0_1,,,
0.4534878508128584,,,0_2,,,
0.4534878508128584,-5.336282123434716,5.336282123434716,1_0,,,0.0
0.4534878508128584,-4.230949950858421,4.751583166473337,1_1,,,0.1095704731190328
0.4534878508128584,-4.368408313071801,4.804080942390192,2_0,-48.1696248815079,4.368408313071801,0.0824637099695048
0.4977023564332111,,,0_0,,,
0.4977023564332111,,,0_1,,,
0.4977023564332111,,,0_2,,,
0.4977023564332111,-5.549738447580239,5.549738447580239,1_0,,,0.0
0.4977023564332111,-4.3643704191506485,4.9214951300028975,1_1,,,0.1132023289946689
0.4977023564332111,-4.5153985143103,4.979421707999823,2_0,-48.45463263086573,4.5153985143103,0.0845041344921117
0.5462277217684343,,,0_0,,,
0.5462277217684343,,,0_1,,,
0.5462277217684343,,,0_2,,,
0.5462277217684343,-5.779954532780936,5.779954532780936,1_0,,,0.0
0.5462277217684343,-4.5061972566349,5.103490497599845,1_1,,,0.1170362208464676
0.5462277217684343,-4.6725152455610415,5.167568286880528,2_0,-48.7736456250645,4.6725152455610415,0.0866223599118212
0.5994842503189411,,,0_0,,,
0.5994842503189411,,,0_1,,,
0.5994842503189411,,,0_2,,,
0.5994842503189411,-6.028815611545534,6.028815611545534,1_0,,,0.0
0.5994842503189411,-4.65721633445874,5.298820486063829,1_1,,,0.1210843343896139
0.5994842503189411,-4.840802592298846,5.369886171446102,2_0,-49.13129026038277,4.840802592298846,0.088820148650439
0.6579332246575682,,,0_0,,,
0.6579332246575682,,,0_1,,,
0.6579332246575682,,,0_2,,,
0.6579332246575682,-6.298473118651351,6.298473118651351,1_0,,,0.0
0.6579332246575682,-4.818316653391346,5.508905328514508,1_1,,,0.1253586028332385
0.6579332246575682,-5.021449675502196,5.587929595093336,2_0,-49.53310131851206,5.021449675502196,0.0910986168486693
0.7220809018385468,,,0_0,,,
0.7220809018385468,,,0_1,,,
0.7220809018385468,,,0_2,,,
0.7220809018385468,-6.591388637634143,6.591388637634143,1_0,,,0.0
0.7220809018385468,-4.990494147828805,5.735354079930764,1_1,,,0.1298716559991273
0.7220809018385468,-5.215804866584601,5.823466333712368,2_0,-49.9851737964193,5.215804866584601,0.0934587342465729
0.7924828983539177,,,0_0,,,
0.7924828983539177,,,0_1,,,
0.7924828983539177,,,0_2,,,
0.7924828983539177,-6.910386216662169,6.910386216662169,1_0,,,0.0
0.7924828983539177,-5.174867253541498,5.979994259355905,1_1,,,0.1346367522936596
0.7924828983539177,-5.425401339576918,6.078512371577057,2_0,-50.49427669655715,5.425401339576918,0.0959012526860353
0.8697490026177834,,,0_0,,,
0.8697490026177834,,,0_1,,,
0.8697490026177834,,,0_2,,,
0.8697490026177834,-7.258714527621186,7.258714527621186,1_0,,,0.0
0.8697490026177834,-5.372711009938436,6.2449159690543805,1_1,,,0.1396664043900684
0.8697490026177834,-5.65199905411809,6.355380341216013,2_0,-51.0684664718879,5.65199905411809,0.098425991426759
0.9545484566618342,,,0_0,,,
0.9545484566618342,,,0_1,,,
0.9545484566618342,,,0_2,,,
0.9545484566618342,-7.6401209938698385,7.6401209938698385,1_0,,,0.0
0.9545484566618342,-5.585463149113873,6.532504440567281,1_1,,,0.1449736927191689
0.9545484566618342,-5.897608879546823,6.656721006486884,2_0,-51.71665097061843,5.897608879546823,0.1010325201336652
1.0476157527896652,,,0_0,,,
1.0476157527896652,,,0_1,,,
1.0476157527896652,,,0_2,,,
1.0476157527896652,-8.058940384662392,8.058940384662392,1_0,,,0.0
1.0476157527896652,-5.81477457240967,6.84550375277819,1_1,,,0.1505702454622433
1.0476157527896652,-6.164553607992601,6.985592998530803,2_0,-52.44944763835572,6.164553607992601,0.1037191788200235
1.149756995397737,,,0_0,,,
1.149756995397737,,,0_1,,,
1.149756995397737,,,0_2,,,
1.149756995397737,-8.520200948930711,8.520200948930711,1_0,,,0.0
1.149756995397737,-6.062521565854184,7.187064908452109,1_1,,,0.1564676758763432
1.149756995397737,-6.455505229000748,7.345523626660337,2_0,-53.27874828919107,6.455505229000748,0.1064838393104532
1.261856883066021,,,0_0,,,
1.261856883066021,,,0_1,,,
1.261856883066021,,,0_2,,,
1.261856883066021,-9.029751846971084,9.029751846971084,1_0,,,0.0
1.261856883066021,-6.3308532598449005,7.560822304219785,1_1,,,0.1626766236376728
1.261856883066021,-6.773554018696637,7.740597116931152,2_0,-54.21821716552452,6.773554018696637,0.109323493309888
1.384886371393873,,,0_0,,,
1.384886371393873,,,0_1,,,
1.384886371393873,,,0_2,,,
1.384886371393873,-9.594416490522775,9.594416490522775,1_0,,,0.0
1.384886371393873,-6.622240514973014,7.970980717644795,1_1,,,0.1692063060303445
1.384886371393873,-7.122285418279565,8.175556762350276,2_0,-55.28361617601849,7.122285418279565,0.1122341355629814
1.5199110829529348,,,0_0,,,
1.5199110829529348,,,0_1,,,
1.5199110829529348,,,0_2,,,
1.5199110829529348,-10.222177443388077,10.222177443388077,1_0,,,0.0
1.5199110829529348,-6.939529988593057,8.422416928477897,1_1,,,0.1760642998888952
1.5199110829529348,-7.505869114994651,8.655925593115212,2_0,-56.49309038911776,7.505869114994651,0.1152107825702479
1.6681005372000592,,,0_0,,,
1.6681005372000592,,,0_1,,,
1.6681005372000592,,,0_2,,,
1.6681005372000592,-10.922399820548447,10.922399820548447,1_0,,,0.0
1.6681005372000592,-7.286018285967186,8.920807408478264,1_1,,,0.1832557354570156
1.6681005372000592,-7.929172815650294,9.188156066349238,2_0,-57.86770973069129,7.929172815650294,0.1182472662369269
1.8307382802953696,,,0_0,,,
1.8307382802953696,,,0_1,,,
1.8307382802953696,,,0_2,,,
1.8307382802953696,-11.706101692692984,11.706101692692984,1_0,,,0.0
1.8307382802953696,-7.665526271674499,9.4727730926182,1_1,,,0.1907832905183832
1.8307382802953696,-8.397888782795908,9.779803687749606,2_0,-59.43180972496302,8.397888782795908,0.1213364111701722
2.009233002565048,,,0_0,,,
2.009233002565048,,,0_1,,,
2.009233002565048,,,0_2,,,
2.009233002565048,-12.586281930726011,12.586281930726011,1_0,,,0.0
2.009233002565048,-8.082503233282413,10.086062879047354,1_1,,,0.1986463568383167
2.009233002565048,-8.918697008096354,10.43974377449638,2_0,-61.21370731240637,8.918697008096354,0.1244698876719779
2.205130739903045,,,0_0,,,
2.205130739903045,,,0_1,,,
2.205130739903045,,,0_2,,,
2.205130739903045,-13.578318279972054,13.578318279972054,1_0,,,0.0
2.205130739903045,-8.542140500525814,10.769767987676396,1_1,,,0.2068408056422019
2.205130739903045,-9.49945400737126,11.17842817686384,2_0,-63.24633592958352,9.49945400737126,0.127638348893985
2.420128264794384,,,0_0,,,
2.420128264794384,,,0_1,,,
2.420128264794384,,,0_2,,,
2.420128264794384,-14.700451306173925,14.700451306173925,1_0,,,0.0
2.420128264794384,-9.05052995700582,11.534594701506958,1_1,,,0.2153577831544098
2.420128264794384,-10.149436053878407,12.008206583263268,2_0,-65.56835441055007,10.149436053878407,0.1308312191705406
2.656087782946687,,,0_0,,,
2.656087782946687,,,0_1,,,
2.656087782946687,,,0_2,,,
2.656087782946687,-15.974373329758714,15.974373329758714,1_0,,,0.0
2.656087782946687,-9.614828042351585,12.393177665552823,1_1,,,0.2241837967774592
2.656087782946687,-10.87961475793491,12.943703353085926,2_0,-68.22502985258834,10.87961475793491,0.1340370155878489
2.9150530628251787,,,0_0,,,
2.9150530628251787,,,0_1,,,
2.9150530628251787,,,0_2,,,
2.9150530628251787,-17.425945649314418,17.425945649314418,1_0,,,0.0
2.9150530628251787,-10.24347594839152,13.360473611991832,1_1,,,0.2332999378706619
2.9150530628251787,-11.703006365265017,14.002285612789372,2_0,-71.2696545368166,11.703006365265017,0.1372433457563249
3.1992671377973845,,,0_0,,,
3.1992671377973845,,,0_1,,,
3.1992671377973845,,,0_2,,,
3.1992671377973845,-19.08607237798304,19.08607237798304,1_0,,,0.0
3.1992671377973845,-10.9464591690875,14.454235088161536,1_1,,,0.2426815322761016
3.1992671377973845,-12.63509079174028,15.20462891371618,2_0,-74.765135857099,12.63509079174028,0.1404370770994714
3.511191734215134,,,0_0,,,
3.511191734215134,,,0_1,,,
3.511191734215134,,,0_2,,,
3.511191734215134,-20.9917652275176,20.9917652275176,1_0,,,0.0
3.511191734215134,-11.735631222331625,15.695592228900152,1_1,,,0.2522976482070608
3.511191734215134,-13.694326701753596,16.57540962863827,2_0,-78.7860260986688,13.694326701753596,0.1436044518133463
3.8535285937105312,,,0_0,,,
3.8535285937105312,,,0_1,,,
3.8535285937105312,,,0_2,,,
3.8535285937105312,-23.187440700987505,23.187440700987505,1_0,,,0.0
3.8535285937105312,-12.625103862283652,17.109758827947005,1_1,,,0.2621109397718767
3.8535285937105312,-14.902775647349332,18.144146173542104,2_0,-83.42092875590268,14.902775647349332,0.1467313016576022
4.229242874389499,,,0_0,,,
4.229242874389499,,,0_1,,,
4.229242874389499,,,0_2,,,
4.229242874389499,-25.72649958308331,25.72649958308331,1_0,,,0.0
4.229242874389499,-13.631720347575325,18.726891035049167,1_1,,,0.2720777665624125
4.229242874389499,-16.286860412139973,19.946222232656176,2_0,-88.77540762202301,16.286860412139973,0.1498033135992305
4.641588833612782,,,0_0,,,
4.641588833612782,,,0_1,,,
4.641588833612782,,,0_2,,,
4.641588833612782,-28.67324853851412,28.67324853851412,1_0,,,0.0
