chrom,scenario,seed,priv_pca_count,priv_geo_count
5,50epsilonpca,2,120.0,
5,50epsilonpca,3,125.0,
5,50epsilonpca,4,106.0,
5,50epsilonpca,5,120.0,
5,50epsilonpca,6,123.0,
5,50epsilonpca,7,124.0,
5,50epsilonpca,8,121.0,
5,50epsilonpca,9,98.0,
5,50epsilonpca,10,114.0,
5,100epsilonpca,1,129.0,
5,100epsilonpca,2,115.0,
5,100epsilonpca,3,111.0,
5,100epsilonpca,4,103.0,
5,100epsilonpca,5,121.0,
5,100epsilonpca,6,113.0,
5,100epsilonpca,7,122.0,
5,100epsilonpca,8,119.0,
5,100epsilonpca,9,100.0,
5,100epsilonpca,10,106.0,
5,closest10kpca,1,145.0,
5,closest10kpca,2,145.0,
5,closest10kpca,3,145.0,
5,closest10kpca,4,145.0,
5,closest10kpca,5,145.0,
5,closest10kpca,6,145.0,
5,closest10kpca,7,145.0,
5,closest10kpca,8,145.0,
5,closest10kpca,9,145.0,
5,closest10kpca,10,145.0,
5,5epsilongeo,1,,20.0
5,5epsilongeo,2,,29.0
5,5epsilongeo,3,,20.0
5,5epsilongeo,4,,26.0
5,5epsilongeo,5,,26.0
5,5epsilongeo,6,,23.0
5,5epsilongeo,7,,27.0
5,5epsilongeo,8,,23.0
5,5epsilongeo,9,,27.0
5,5epsilongeo,10,,25.0
5,10epsilongeo,1,,7.0
5,10epsilongeo,2,,10.0
5,10epsilongeo,3,,9.0
5,10epsilongeo,4,,17.0
5,10epsilongeo,5,,15.0
5,10epsilongeo,6,,12.0
5,10epsilongeo,7,,13.0
5,10epsilongeo,8,,12.0
5,10epsilongeo,9,,15.0
5,10epsilongeo,10,,12.0
5,50epsilongeo,1,,6.0
5,50epsilongeo,2,,6.0
5,50epsilongeo,3,,10.0
5,50epsilongeo,4,,7.0
5,50epsilongeo,5,,8.0
5,50epsilongeo,6,,4.0
5,50epsilongeo,7,,10.0
5,50epsilongeo,8,,4.0
5,50epsilongeo,9,,4.0
5,50epsilongeo,10,,5.0
5,closest10kgeo,1,,19.0
5,closest10kgeo,2,,19.0
5,closest10kgeo,3,,19.0
5,closest10kgeo,4,,19.0
5,closest10kgeo,5,,19.0
5,closest10kgeo,6,,19.0
5,closest10kgeo,7,,19.0
5,closest10kgeo,8,,19.0
5,closest10kgeo,9,,19.0
5,closest10kgeo,10,,19.0
5,uniformgeo,1,,9.0
5,uniformgeo,2,,5.0
5,uniformgeo,3,,7.0
5,uniformgeo,4,,3.0
5,uniformgeo,5,,7.0
5,uniformgeo,6,,6.0
5,uniformgeo,7,,1.0
5,uniformgeo,8,,8.0
5,uniformgeo,9,,8.0
5,uniformgeo,10,,15.0
6,uniform,1,145.0,
6,uniform,2,125.0,
