chrom,scenario,seed,priv_pca_count,priv_geo_count
2,50epsilonpca,4,18537.0,
2,50epsilonpca,5,18693.0,
2,50epsilonpca,6,18314.0,
2,50epsilonpca,7,18508.0,
2,50epsilonpca,8,18589.0,
2,50epsilonpca,9,18544.0,
2,50epsilonpca,10,18685.0,
2,100epsilonpca,1,18087.0,
2,100epsilonpca,2,18011.0,
2,100epsilonpca,3,17913.0,
2,100epsilonpca,4,18412.0,
2,100epsilonpca,5,17705.0,
2,100epsilonpca,6,17938.0,
2,100epsilonpca,7,18167.0,
2,100epsilonpca,8,18045.0,
2,100epsilonpca,9,18382.0,
2,100epsilonpca,10,17832.0,
2,closest10kpca,1,27580.0,
2,closest10kpca,2,27580.0,
2,closest10kpca,3,27580.0,
2,closest10kpca,4,27580.0,
2,closest10kpca,5,27580.0,
2,closest10kpca,6,27580.0,
2,closest10kpca,7,27580.0,
2,closest10kpca,8,27580.0,
2,closest10kpca,9,27580.0,
2,closest10kpca,10,27580.0,
2,5epsilongeo,1,,16317.0
2,5epsilongeo,2,,16580.0
2,5epsilongeo,3,,16313.0
2,5epsilongeo,4,,16472.0
2,5epsilongeo,5,,16510.0
2,5epsilongeo,6,,16320.0
2,5epsilongeo,7,,16215.0
2,5epsilongeo,8,,16499.0
2,5epsilongeo,9,,16456.0
2,5epsilongeo,10,,16481.0
2,10epsilongeo,1,,7259.0
2,10epsilongeo,2,,7240.0
2,10epsilongeo,3,,7282.0
2,10epsilongeo,4,,7100.0
2,10epsilongeo,5,,7151.0
2,10epsilongeo,6,,7407.0
2,10epsilongeo,7,,7177.0
2,10epsilongeo,8,,6971.0
2,10epsilongeo,9,,7188.0
2,10epsilongeo,10,,7186.0
2,50epsilongeo,1,,3069.0
2,50epsilongeo,2,,3224.0
2,50epsilongeo,3,,3180.0
2,50epsilongeo,4,,3290.0
2,50epsilongeo,5,,3231.0
2,50epsilongeo,6,,3138.0
2,50epsilongeo,7,,3126.0
2,50epsilongeo,8,,3144.0
2,50epsilongeo,9,,3032.0
2,50epsilongeo,10,,3298.0
2,closest10kgeo,1,,16382.0
2,closest10kgeo,2,,16382.0
2,closest10kgeo,3,,16382.0
2,closest10kgeo,4,,16382.0
2,closest10kgeo,5,,16382.0
2,closest10kgeo,6,,16382.0
2,closest10kgeo,7,,16382.0
2,closest10kgeo,8,,16382.0
2,closest10kgeo,9,,16382.0
2,closest10kgeo,10,,16382.0
2,uniformgeo,1,,3268.0
2,uniformgeo,2,,3121.0
2,uniformgeo,3,,3094.0
2,uniformgeo,4,,3121.0
2,uniformgeo,5,,3209.0
2,uniformgeo,6,,3103.0
2,uniformgeo,7,,3318.0
2,uniformgeo,8,,3256.0
2,uniformgeo,9,,3252.0
2,uniformgeo,10,,3116.0
3,uniform,1,14129.0,
3,uniform,2,14189.0,
3,uniform,3,14051.0,
3,uniform,4,14396.0,
3,uniform,5,13862.0,
3,uniform,6,14172.0,
3,uniform,7,14272.0,
3,uniform,8,13903.0,
3,uniform,9,14035.0,
3,uniform,10,14189.0,
3,5epsilonpca,1,15164.0,
3,5epsilonpca,2,15445.0,
3,5epsilonpca,3,15349.0,
3,5epsilonpca,4,15376.0,
3,5epsilonpca,5,15309.0,
3,5epsilonpca,6,15142.0,
3,5epsilonpca,7,15466.0,
3,5epsilonpca,8,15336.0,
3,5epsilonpca,9,15400.0,
3,5epsilonpca,10,15052.0,
3,10epsilonpca,1,14859.0,
3,10epsilonpca,2,15070.0,
3,10epsilonpca,3,15037.0,
3,10epsilonpca,4,15059.0,
3,10epsilonpca,5,15426.0,
3,10epsilonpca,6,14728.0,
3,10epsilonpca,7,15053.0,
3,10epsilonpca,8,15089.0,
3,10epsilonpca,9,15133.0,
3,10epsilonpca,10,15221.0,
3,50epsilonpca,1,14987.0,
3,50epsilonpca,2,14761.0,
3,50epsilonpca,3,14961.0,
3,50epsilonpca,4,14681.0,
3,50epsilonpca,5,14900.0,
3,50epsilonpca,6,14587.0,
3,50epsilonpca,7,14898.0,
3,50epsilonpca,8,15054.0,
3,50epsilonpca,9,14800.0,
3,50epsilonpca,10,14772.0,
3,100epsilonpca,1,14443.0,
3,100epsilonpca,2,14484.0,
3,100epsilonpca,3,14286.0,
3,100epsilonpca,4,14505.0,
3,100epsilonpca,5,14284.0,
3,100epsilonpca,6,14137.0,
3,100epsilonpca,7,14461.0,
3,100epsilonpca,8,14442.0,
3,100epsilonpca,9,14551.0,
3,100epsilonpca,10,14155.0,
3,closest10kpca,1,22087.0,
3,closest10kpca,2,22087.0,
3,closest10kpca,3,22087.0,
3,closest10kpca,4,22087.0,
