sigma,rho,s,w,mu,logl
14.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-273.62354909723604
12.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-274.2324398670719
15.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-275.37498323187424
10.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-275.4990361584332
21.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-278.27227738727265
22.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-281.7887849962858
24.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-282.2315930386644
20.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-284.8910351864556
30.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-285.36818741508273
20.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-286.7013235185161
16.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-287.71249688075204
13.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-290.2765325586188
7.0,2.831034482758621,0.005298316906283708,multi,1.25e-08,-290.84089376026486
10.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-292.7051587026401
11.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-293.4234520116331
16.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-294.0661666464939
9.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-295.4298482441345
12.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-297.72526960066216
17.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-297.94632350648567
27.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-298.99310716103423
20.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-299.77489138477995
6.0,2.831034482758621,0.005298316906283708,multi,1.25e-08,-299.87489346421444
15.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-300.45008288742724
24.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-301.32281439768076
16.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-302.515244329755
25.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-302.83310942252206
11.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-303.10894211687764
