sigma,rho,s,w,mu,logl
26.0,0.78,0.005298316906283708,multi,1.25e-08,-6418.8450120819325
8.0,4.54,0.005298316906283708,multi,1.25e-08,-6422.029228880845
11.0,2.83,0.006210169418915616,multi,1.25e-08,-6428.236523472569
12.0,2.15,0.004520353656360241,multi,1.25e-08,-6436.226428777377
14.0,1.81,0.005298316906283708,multi,1.25e-08,-6438.42834203335
19.0,1.12,0.004520353656360241,multi,1.25e-08,-6442.656574473305
20.0,1.12,0.005298316906283708,multi,1.25e-08,-6445.232240668128
9.0,3.17,0.005298316906283708,multi,1.25e-08,-6451.856254801623
9.0,4.54,0.006210169418915616,multi,1.25e-08,-6454.942033759282
12.0,3.86,0.006210169418915616,multi,1.25e-08,-6465.102152512379
15.0,3.17,0.006210169418915616,multi,1.25e-08,-6466.660305545788
20.0,2.15,0.007278953843983146,multi,1.25e-08,-6466.677478292643
22.0,1.47,0.007278953843983146,multi,1.25e-08,-6468.448728395975
10.0,3.17,0.006210169418915616,multi,1.25e-08,-6471.107036763447
16.0,2.15,0.004520353656360241,multi,1.25e-08,-6474.229726510814
11.0,3.86,0.005298316906283708,multi,1.25e-08,-6478.546673268947
10.0,2.83,0.004520353656360241,multi,1.25e-08,-6481.397746960825
19.0,2.49,0.006210169418915616,multi,1.25e-08,-6482.12610037735
19.0,1.81,0.007278953843983146,multi,1.25e-08,-6492.755608937494
25.0,1.81,0.006210169418915616,multi,1.25e-08,-6494.247266133347
12.0,2.83,0.004520353656360241,multi,1.25e-08,-6500.298601308257
12.0,2.49,0.006210169418915616,multi,1.25e-08,-6501.068416932843
17.0,2.15,0.007278953843983146,multi,1.25e-08,-6501.766082299846
16.0,2.49,0.007278953843983146,multi,1.25e-08,-6504.155948834248
17.0,2.49,0.007278953843983146,multi,1.25e-08,-6509.94617635507
10.0,3.17,0.004520353656360241,multi,1.25e-08,-6510.613936734357
24.0,1.81,0.007278953843983146,multi,1.25e-08,-6511.535187008817
22.0,1.12,0.006210169418915616,multi,1.25e-08,-6513.247957304917
27.0,1.47,0.005298316906283708,multi,1.25e-08,-6518.880556393613
8.0,4.54,0.006210169418915616,multi,1.25e-08,-6522.663982634205
14.0,2.49,0.004520353656360241,multi,1.25e-08,-6530.113922422358
17.0,2.83,0.006210169418915616,multi,1.25e-08,-6538.145280242803
10.0,4.2,0.005298316906283708,multi,1.25e-08,-6540.960786895472
18.0,1.47,0.006210169418915616,multi,1.25e-08,-6543.862714698569
7.0,4.54,0.005298316906283708,multi,1.25e-08,-6548.637680025305
11.0,4.2,0.006210169418915616,multi,1.25e-08,-6556.627490682236
26.0,1.12,0.007278953843983146,multi,1.25e-08,-6556.758838787572
23.0,1.81,0.005298316906283708,multi,1.25e-08,-6558.3319165962885
19.0,1.81,0.004520353656360241,multi,1.25e-08,-6561.73589335828
29.0,1.47,0.007278953843983146,multi,1.25e-08,-6564.022427741925
7.0,4.88,0.005298316906283708,multi,1.25e-08,-6569.798777535
12.0,2.15,0.005298316906283708,multi,1.25e-08,-6570.632414567079
9.0,4.54,0.005298316906283708,multi,1.25e-08,-6578.413249371681
8.0,4.88,0.006210169418915616,multi,1.25e-08,-6579.913801937564
26.0,0.78,0.0038566204211634724,multi,1.25e-08,-6585.03126363622
20.0,2.15,0.005298316906283708,multi,1.25e-08,-6585.934088667684
8.0,4.2,0.006210169418915616,multi,1.25e-08,-6587.66724833959
14.0,3.17,0.005298316906283708,multi,1.25e-08,-6597.398052624302
9.0,3.51,0.006210169418915616,multi,1.25e-08,-6599.100544556977
9.0,3.17,0.004520353656360241,multi,1.25e-08,-6603.454830380937
24.0,0.78,0.004520353656360241,multi,1.25e-08,-6606.6480558157655
25.0,0.78,0.0038566204211634724,multi,1.25e-08,-6613.526259650775
15.0,2.49,0.007278953843983146,multi,1.25e-08,-6613.721632728732
15.0,2.83,0.007278953843983146,multi,1.25e-08,-6615.187976997275
8.0,4.88,0.005298316906283708,multi,1.25e-08,-6616.806856364008
18.0,2.49,0.007278953843983146,multi,1.25e-08,-6618.870968367577
