sigma,rho,s,w,mu,logl
19.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-607.7384156098128
20.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-612.2996306397563
12.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-617.5666360423029
19.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-617.840484519324
19.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-618.0700265153989
18.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-622.9899218892331
13.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-624.1632283398876
9.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-628.1602462950891
11.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-628.900616452579
25.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-633.9671774884209
21.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-634.7671510867332
13.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-636.1493740113065
17.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-660.3854834884999
25.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-663.194628770329
13.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-667.1646149447541
20.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-670.2774179123876
22.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-673.5959077622521
14.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-677.3253840654045
10.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-679.4590987135659
10.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-682.3829906710407
18.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-685.9644485538944
9.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-687.8230947954862
8.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-693.9511939756812
13.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-700.8309419813356
24.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-704.137406858254
20.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-704.6111032790254
10.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-706.2771856112129
9.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-706.3318785906724
19.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-707.5119370372408
20.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-708.9258560698518
18.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-722.5914698723773
16.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-722.7522918883897
12.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-725.0053885568091
