sigma,rho,s,w,mu,logl
7.0,1.806896551724138,0.004520353656360241,50,1.25e-08,-287.8988176471096
17.0,0.7827586206896552,0.005298316906283708,50,1.25e-08,-287.92342928213
4.0,3.855172413793104,0.005298316906283708,50,1.25e-08,-288.32130233087196
11.0,1.4655172413793105,0.005298316906283708,50,1.25e-08,-288.36700219863474
18.0,0.7827586206896552,0.005298316906283708,50,1.25e-08,-288.74545939813356
3.0,2.831034482758621,0.0028072162039411755,50,1.25e-08,-288.84002280055165
27.0,0.4413793103448276,0.005298316906283708,50,1.25e-08,-288.9119984078284
1.0,5.903448275862069,0.005298316906283708,50,1.25e-08,-289.6436725878632
2.0,5.562068965517241,0.005298316906283708,50,1.25e-08,-289.6810895449273
25.0,0.4413793103448276,0.004520353656360241,50,1.25e-08,-289.86445164249153
16.0,0.4413793103448276,0.0028072162039411755,50,1.25e-08,-289.8855493539147
4.0,2.831034482758621,0.0032903445623126675,50,1.25e-08,-290.11710552766976
17.0,0.4413793103448276,0.0028072162039411755,50,1.25e-08,-290.401607729219
3.0,3.513793103448276,0.0032903445623126675,50,1.25e-08,-290.43508824920355
4.0,3.513793103448276,0.005298316906283708,50,1.25e-08,-290.8847687848963
1.0,4.537931034482758,0.0028072162039411755,50,1.25e-08,-291.03212960675
3.0,4.196551724137931,0.005298316906283708,50,1.25e-08,-291.0322815928246
6.0,2.831034482758621,0.005298316906283708,50,1.25e-08,-291.34934477587353
1.0,6.586206896551724,0.005298316906283708,50,1.25e-08,-292.487756236849
5.0,1.806896551724138,0.0028072162039411755,50,1.25e-08,-292.6063590909182
9.0,1.4655172413793105,0.0038566204211634724,50,1.25e-08,-292.72420277162996
8.0,2.148275862068966,0.005298316906283708,50,1.25e-08,-292.84550206861536
25.0,0.4413793103448276,0.005298316906283708,50,1.25e-08,-294.28857504288
14.0,1.124137931034483,0.005298316906283708,50,1.25e-08,-294.7059637336379
6.0,2.4896551724137934,0.005298316906283708,50,1.25e-08,-294.88121040736087
10.0,1.4655172413793105,0.005298316906283708,50,1.25e-08,-295.09044183281344
7.0,2.148275862068966,0.005298316906283708,50,1.25e-08,-295.09081458663445
7.0,2.4896551724137934,0.005298316906283708,50,1.25e-08,-295.5249414990253
