s	width	allele counts	sampnum	se_f	f	n	f_per_kb
-0.1	1.224744871391589	5.097574369461243	1000	0.12994035178241256	0.15578947368421053	38	1.5578947368421054e-6
-0.1	1.224744871391589	5.344127800126624	100	0	0	38	0
-0.1	1.224744871391589	5.573102621003827	10000	0.15285174438332125	0.11657894736842106	38	1.1657894736842107e-6
-0.1	1.224744871391589	5.952940333057172	1000	0.1082831885988941	0.1286842105263158	38	1.2868421052631577e-6
-0.1	1.224744871391589	5.954381150942568	100	0.04201198772226248	0.02157894736842105	38	2.1578947368421053e-7
-0.1	1.224744871391589	6.634320176598333	100	0.02466273211991682	0.011578947368421053	38	1.1578947368421053e-7
-0.1	1.224744871391589	6.821394432824586	10000	0.13877256073549543	0.09447368421052632	38	9.447368421052632e-7
-0.1	1.224744871391589	6.951835528136526	1000	0.10226176213184526	0.12578947368421053	38	1.2578947368421054e-6
-0.1	1.224744871391589	7.391902380762504	100	0	0	38	0
-0.1	1.224744871391589	8.118343962208348	1000	0.08535925252405359	0.09947368421052631	38	9.947368421052631e-7
-0.1	1.224744871391589	8.235993945462319	100	0.025514618017416602	0.0076315789473684215	38	7.63157894736842e-8
-0.1	1.224744871391589	8.349284980470902	10000	0.09524804781025328	0.0868421052631579	38	8.684210526315789e-7
-0.1	1.224744871391589	9.176473494323238	100	0.0189650423338695	0.0060526315789473685	38	6.052631578947368e-8
-0.1	1.224744871391589	9.48059090609579	1000	0.08862641155454486	0.09881578947368422	38	9.881578947368423e-7
-0.1	1.224744871391589	10.21940020792074	10000	0.08712085097296285	0.08289473684210527	38	8.289473684210527e-7
-0.1	1.224744871391589	10.224347704676473	100	0.01329177972471541	0.002631578947368421	38	2.631578947368421e-8
-0.1	1.224744871391589	11.071421012358362	1000	0.0791693181657741	0.08394736842105263	38	8.394736842105262e-7
-0.1	1.224744871391589	11.391880121573063	100	0.004912100772292345	9.210526315789473e-4	38	9.210526315789473e-9
-0.1	1.224744871391589	12.508393335947712	10000	0.07126872991321222	0.06710526315789474	38	6.710526315789474e-7
-0.1	1.224744871391589	12.692734681248593	100	0.0032444284226152507	5.263157894736842e-4	38	5.263157894736842e-9
-0.1	1.224744871391589	12.929190221052218	1000	0.06943482468538115	0.07131578947368421	38	7.131578947368421e-7
-0.1	1.224744871391589	14.142135623730951	100	0	0	38	0
-0.1	1.224744871391589	15.098690546187088	1000	0.06994477263232046	0.05859649122807017	38	5.859649122807016e-7
-0.1	1.224744871391589	15.310086762774377	10000	0.06941154586624365	0.055701754385964905	38	5.57017543859649e-7
-0.1	1.224744871391589	15.757045666090121	100	0	0	38	0
-0.1	1.224744871391589	17.55636452153805	100	0	0	38	0
-0.1	1.224744871391589	17.63223004007799	1000	0.05113667662782403	0.04096491228070175	38	4.0964912280701753e-7
-0.1	1.224744871391589	18.739317703580973	10000	0.06282695419596562	0.042236842105263156	38	4.2236842105263154e-7
-0.1	1.224744871391589	19.56115008769927	100	0	0	38	0
-0.1	1.224744871391589	20.59089397422876	1000	0.03752961003693298	0.027719298245614032	38	2.771929824561403e-7
-0.1	1.224744871391589	21.794864892676273	100	0	0	38	0
-0.1	1.224744871391589	22.936645195870106	10000	0.05158417832794815	0.033789473684210515	38	3.378947368421051e-7
-0.1	1.224744871391589	24.04601764463227	1000	0.029546383505463673	0.02052631578947368	38	2.0526315789473683e-7
-0.1	1.224744871391589	24.283650683132347	100	0	0	38	0
-0.1	1.224744871391589	27.056634367967558	100	0	0	38	0
-0.1	1.224744871391589	28.074111403783828	10000	0.036961400033831	0.028070175438596495	38	2.8070175438596494e-7
-0.1	1.224744871391589	28.08090631177286	1000	0.02488939973284143	0.014631578947368426	38	1.4631578947368428e-7
-0.1	1.224744871391589	30.14626889812659	100	0	0	38	0
-0.1	1.224744871391589	32.79284374419429	1000	0.02682629439791779	0.011842105263157897	38	1.1842105263157898e-7
-0.1	1.224744871391589	33.58871307194372	100	0	0	38	0
