s	width	allele counts	se_f	f	n	f_per_kb
-0.1	11.022703842524301	10.21940020792074	0.08833938053804856	0.195	14	1.95e-6
-0.1	11.022703842524301	12.508393335947712	0.06125182213033106	0.055357142857142855	14	5.535714285714285e-7
-0.1	11.022703842524301	15.310086762774377	0.03854179660407758	0.01666666666666667	14	1.666666666666667e-7
-0.1	11.022703842524301	18.739317703580973	0.009273025988802738	0.0032142857142857147	14	3.2142857142857145e-8
-0.1	11.022703842524301	22.936645195870106	0.0016035674514745467	4.2857142857142866e-4	14	4.285714285714287e-9
-0.1	11.022703842524301	28.074111403783828	0	0	14	0
-0.1	11.022703842524301	34.362293368603815	0	0	14	0
-0.1	11.022703842524301	42.058934246120046	0	0	14	0
-0.1	11.022703842524301	51.479507812354285	0	0	14	0
-0.1	11.022703842524301	63.0101492608963	0	0	14	0
-0.1	11.022703842524301	77.12348230585881	0	0	14	0
-0.1	11.022703842524301	94.39799131968466	0	0	14	0
-0.1	11.022703842524301	115.54173254070393	0	0	14	0
-0.1	11.022703842524301	141.4213562373095	0	0	14	0
-0.1	11.022703842524301	173.0976294037676	0	0	14	0
-0.1	11.022703842524301	211.86891500973533	0	0	14	0
-0.1	11.022703842524301	259.3243899527689	0	0	14	0
-0.1	11.022703842524301	317.409183037944	0	0	14	0
-0.1	11.022703842524301	388.50410289276914	0	0	14	0
-0.1	11.022703842524301	475.5232237451433	0	0	14	0
-0.1	11.022703842524301	582.0333289591675	0	0	14	0
-0.1	11.022703842524301	712.4001081403561	0	0	14	0
-0.1	11.022703842524301	871.9671002105022	0	0	14	0
-0.1	11.022703842524301	1067.2747170607029	0	0	14	0
-0.1	11.022703842524301	1306.3283252338515	0	0	14	0
-0.1	11.022703842524301	1598.9263739030541	0	0	14	0
-0.1	11.022703842524301	1957.062018620097	0	0	14	0
-0.1	11.022703842524301	2395.4147027895547	0	0	14	0
-0.1	11.022703842524301	2931.9518460565623	0	0	14	0
-0.1	11.022703842524301	3588.6653019135715	0	0	14	0
-0.1	11.022703842524301	4392.472770819839	0	0	14	0
-0.1	11.022703842524301	5376.321116406638	0	0	14	0
-0.1	11.022703842524301	6580.536808046029	0	0	14	0
-0.1	11.022703842524301	8054.478842400569	0	0	14	0
-0.1	11.022703842524301	9858.561894731161	0	0	14	0
-0.1	11.022703842524301	12066.732625903607	0	0	14	0
-0.1	11.022703842524301	14769.500645207127	0	0	14	0
-0.1	11.022703842524301	18077.64836360904	0	0	14	0
-0.1	12.24744871391589	1	0	0	14	0
-0.1	12.24744871391589	1.106338589938541	11.429234252757077	330.35571428571427	14	0.0033035571428571427
-0.1	12.24744871391589	1.3541419226309606	0	0	14	0
-0.1	12.24744871391589	1.6574495035272516	0	0	14	0
-0.1	12.24744871391589	2.0286934558567684	6.131196977232616	123.16928571428572	14	0.0012316928571428573
-0.1	12.24744871391589	2.4830905129101035	0	0	14	0
-0.1	12.24744871391589	3.0392657291341303	3.142965282854834	46.8	14	4.6799999999999994e-4
-0.1	12.24744871391589	3.720015893203823	1.4970263565107704	19.404285714285713	14	1.9404285714285714e-4
-0.1	12.24744871391589	4.5532439342286635	0.8443493496034826	8.637857142857143	14	8.637857142857143e-5
-0.1	12.24744871391589	5.573102621003827	0.5698934737550269	4.003571428571429	14	4.003571428571429e-5
-0.1	12.24744871391589	6.821394432824586	0.40159640228676147	1.9221428571428572	14	1.922142857142857e-5
-0.1	12.24744871391589	8.349284980470902	0.20948392893851422	0.7328571428571429	14	7.3285714285714285e-6
-0.1	12.24744871391589	10.21940020792074	0.10193997371864602	0.18071428571428572	14	1.8071428571428571e-6
-0.1	12.24744871391589	12.508393335947712	0.06718127846226339	0.05964285714285714	14	5.964285714285715e-7
-0.1	12.24744871391589	15.310086762774377	0.02281876356632783	0.012142857142857141	14	1.2142857142857143e-7
-0.1	12.24744871391589	18.739317703580973	0.008630462913997727	0.0026785714285714286	14	2.6785714285714285e-8
-0.1	12.24744871391589	22.936645195870106	0.0021380899352993954	5.714285714285715e-4	14	5.714285714285714e-9
-0.1	12.24744871391589	28.074111403783828	0	0	14	0
-0.1	12.24744871391589	34.362293368603815	0	0	14	0
-0.1	12.24744871391589	42.058934246120046	0	0	14	0
-0.1	12.24744871391589	51.479507812354285	0	0	14	0
-0.1	12.24744871391589	63.0101492608963	0	0	14	0
-0.1	12.24744871391589	77.12348230585881	0	0	14	0
-0.1	12.24744871391589	94.39799131968466	0	0	14	0
-0.1	12.24744871391589	115.54173254070393	0	0	14	0
-0.1	12.24744871391589	141.4213562373095	0	0	14	0
-0.1	12.24744871391589	173.0976294037676	0	0	14	0
-0.1	12.24744871391589	211.86891500973533	0	0	14	0
-0.1	12.24744871391589	259.3243899527689	0	0	14	0
-0.1	12.24744871391589	317.409183037944	0	0	14	0
-0.1	12.24744871391589	388.50410289276914	0	0	14	0
-0.1	12.24744871391589	475.5232237451433	0	0	14	0
-0.1	12.24744871391589	582.0333289591675	0	0	14	0
-0.1	12.24744871391589	712.4001081403561	0	0	14	0
-0.1	12.24744871391589	871.9671002105022	0	0	14	0
-0.1	12.24744871391589	1067.2747170607029	0	0	14	0
-0.1	12.24744871391589	1306.3283252338515	0	0	14	0
-0.1	12.24744871391589	1598.9263739030541	0	0	14	0
-0.1	12.24744871391589	1957.062018620097	0	0	14	0
-0.1	12.24744871391589	2395.4147027895547	0	0	14	0
-0.1	12.24744871391589	2931.9518460565623	0	0	14	0
-0.1	12.24744871391589	3588.6653019135715	0	0	14	0
-0.1	12.24744871391589	4392.472770819839	0	0	14	0
-0.1	12.24744871391589	5376.321116406638	0	0	14	0
-0.1	12.24744871391589	6580.536808046029	0	0	14	0
-0.1	12.24744871391589	8054.478842400569	0	0	14	0
-0.1	12.24744871391589	9858.561894731161	0	0	14	0
-0.1	12.24744871391589	12066.732625903607	0	0	14	0
-0.1	12.24744871391589	14769.500645207127	0	0	14	0
-0.1	12.24744871391589	18077.64836360904	0	0	14	0
-0.1	13.47219358530748	1	0	0	14	0
-0.1	13.47219358530748	1.106338589938541	11.660559733422037	330.2007142857143	14	0.003302007142857143
-0.1	13.47219358530748	1.3541419226309606	0	0	14	0
-0.1	13.47219358530748	1.6574495035272516	0	0	14	0
