s	width	allele counts	se_f	f	n	f_per_kb
-0.2	11.022703842524301	6580.536808046029	0	0	20	0
-0.2	11.022703842524301	8054.478842400569	0	0	20	0
-0.2	11.022703842524301	9858.561894731161	0	0	20	0
-0.2	11.022703842524301	12066.732625903607	0	0	20	0
-0.2	11.022703842524301	14769.500645207127	0	0	20	0
-0.2	11.022703842524301	18077.64836360904	0	0	20	0
-0.2	12.24744871391589	1	0	0	20	0
-0.2	12.24744871391589	1.106338589938541	1.406750267741035	7.749	20	7.749e-5
-0.2	12.24744871391589	1.3541419226309606	0	0	20	0
-0.2	12.24744871391589	1.6574495035272516	0	0	20	0
-0.2	12.24744871391589	2.0286934558567684	0.7010358876615901	6.4975000000000005	20	6.497500000000001e-5
-0.2	12.24744871391589	2.4830905129101035	0	0	20	0
-0.2	12.24744871391589	3.0392657291341303	0.6438788705960152	5.187	20	5.187e-5
-0.2	12.24744871391589	3.720015893203823	0.504684372444277	4.097	20	4.097e-5
-0.2	12.24744871391589	4.5532439342286635	0.5468916952338821	3.202	20	3.2019999999999995e-5
-0.2	12.24744871391589	5.573102621003827	0.5426290775377538	2.374	20	2.374e-5
-0.2	12.24744871391589	6.821394432824586	0.4935851656902522	1.735	20	1.7349999999999998e-5
-0.2	12.24744871391589	8.349284980470902	0.33613466521305824	1.05125	20	1.0512500000000001e-5
-0.2	12.24744871391589	10.21940020792074	0.20524616157703232	0.49125	20	4.9125e-6
-0.2	12.24744871391589	12.508393335947712	0.16092986376875976	0.277	20	2.77e-6
-0.2	12.24744871391589	15.310086762774377	0.0872200618051062	0.1395	20	1.395e-6
-0.2	12.24744871391589	18.739317703580973	0.04851139312736643	0.06075	20	6.075e-7
-0.2	12.24744871391589	22.936645195870106	0.034357102996553535	0.021899999999999996	20	2.1899999999999996e-7
-0.2	12.24744871391589	28.074111403783828	0.014554545520957965	0.005750000000000001	20	5.7500000000000005e-8
-0.2	12.24744871391589	34.362293368603815	0.00130066495428618	3.5714285714285714e-4	20	3.5714285714285715e-9
-0.2	12.24744871391589	42.058934246120046	0	0	20	0
-0.2	12.24744871391589	51.479507812354285	0	0	20	0
-0.2	12.24744871391589	63.0101492608963	0	0	20	0
