w,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0132194114846602,1,0,[1.],[-0.46754682  1.        ],"[1.0, 0.4675468209432909, 0.21860002977417775]","[1, 0.4675468209432909, 0.22944194936392]","[0.0, 0.0, 0.01084191958974226]",0.01084191958974226,0.04725343216355694,2.13882322626527,-2.13882322626527,[1],,,0.0,[]
0.0145082877849593,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.460143845123951, 0.222361965372879]","[0.0, 0.460143845123951, 0.222361965372879]",0.460143845123951,1.0,,,,,,,
0.0145082877849593,0,1,[0.46014385 1.        ],[1.],"[1.0, 0.460143845123951, 0.0]","[1, 0.460143845123951, 0.222361965372879]","[0.0, 0.0, 0.222361965372879]",0.222361965372879,1.0,,,,,,,
0.0145082877849593,1,0,[1.],[-0.46014385  1.        ],"[1.0, 0.460143845123951, 0.2117323582054546]","[1, 0.460143845123951, 0.222361965372879]","[0.0, 0.0, 0.010629607167424393]",0.010629607167424393,0.04780317150731958,2.173233458616893,-2.173233458616893,[1],,,0.0,[]
0.0159228279334109,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4527409487660052, 0.2154175443507776]","[0.0, 0.4527409487660052, 0.2154175443507776]",0.4527409487660052,1.0,,,,,,,
0.0159228279334109,0,1,[0.45274095 1.        ],[1.],"[1.0, 0.4527409487660052, 0.0]","[1, 0.4527409487660052, 0.2154175443507776]","[0.0, 0.0, 0.2154175443507776]",0.2154175443507776,1.0,,,,,,,
0.0159228279334109,1,0,[1.],[-0.45274095  1.        ],"[1.0, 0.4527409487660052, 0.20497436668954253]","[1, 0.4527409487660052, 0.2154175443507776]","[0.0, 0.0, 0.010443177661235065]",0.010443177661235065,0.04847877034671697,2.2087686186230977,-2.2087686186230977,[1],,,0.0,[]
0.0174752840000768,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4453381214298439, 0.2085845359486588]","[0.0, 0.4453381214298439, 0.2085845359486588]",0.4453381214298439,1.0,,,,,,,
0.0174752840000768,0,1,[0.44533812 1.        ],[1.],"[1.0, 0.4453381214298439, 0.0]","[1, 0.4453381214298439, 0.2085845359486588]","[0.0, 0.0, 0.2085845359486588]",0.2085845359486588,1.0,,,,,,,
0.0174752840000768,1,0,[1.],[-0.44533812  1.        ],"[1.0, 0.4453381214298439, 0.19832604239866242]","[1, 0.4453381214298439, 0.2085845359486588]","[0.0, 0.0, 0.01025849354999639]",0.01025849354999639,0.0491814673764762,2.245484839225771,-2.245484839225771,[1],,,0.0,[]
0.0191791026167248,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4379354492936189, 0.2018899894536098]","[0.0, 0.4379354492936189, 0.2018899894536098]",0.4379354492936189,1.0,,,,,,,
0.0191791026167248,0,1,[0.43793545 1.        ],[1.],"[1.0, 0.4379354492936189, 0.0]","[1, 0.4379354492936189, 0.2018899894536098]","[0.0, 0.0, 0.2018899894536098]",0.2018899894536098,1.0,,,,,,,
0.0191791026167248,1,0,[1.],[-0.43793545  1.        ],"[1.0, 0.4379354492936189, 0.19178745774800385]","[1, 0.4379354492936189, 0.2018899894536098]","[0.0, 0.0, 0.01010253170560596]",0.01010253170560596,0.05003978519661727,2.2834415474083682,-2.2834415474083682,[1],,,0.0,[]
0.0210490414451202,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4305328806500256, 0.195306589988238]","[0.0, 0.4305328806500256, 0.195306589988238]",0.4305328806500256,1.0,,,,,,,
0.0210490414451202,0,1,[0.43053288 1.        ],[1.],"[1.0, 0.4305328806500256, 0.0]","[1, 0.4305328806500256, 0.195306589988238]","[0.0, 0.0, 0.195306589988238]",0.195306589988238,1.0,,,,,,,
0.0210490414451202,1,0,[1.],[-0.43053288  1.        ],"[1.0, 0.4305328806500256, 0.1853585613208092]","[1, 0.4305328806500256, 0.195306589988238]","[0.0, 0.0, 0.009948028667428804]",0.009948028667428804,0.0509354480462124,2.322702968679613,-2.322702968679613,[1],,,0.0,[]
0.0231012970008316,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4231304965701341, 0.1888378208473384]","[0.0, 0.4231304965701341, 0.1888378208473384]",0.4231304965701341,1.0,,,,,,,
0.0231012970008316,0,1,[0.4231305 1.       ],[1.],"[1.0, 0.4231304965701341, 0.0]","[1, 0.4231304965701341, 0.1888378208473384]","[0.0, 0.0, 0.1888378208473384]",0.1888378208473384,1.0,,,,,,,
0.0231012970008316,1,0,[1.],[-0.4231305  1.       ],"[1.0, 0.4231304965701341, 0.17903941712768826]","[1, 0.4231304965701341, 0.1888378208473384]","[0.0, 0.0, 0.009798403719650156]",0.009798403719650156,0.051887930477504556,2.3633370983796476,-2.3633370983796476,[1],,,0.0,[]
0.0253536449397011,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4157282422447028, 0.1824745218600782]","[0.0, 0.4157282422447028, 0.1824745218600782]",0.4157282422447028,1.0,,,,,,,
0.0253536449397011,0,1,[0.41572824 1.        ],[1.],"[1.0, 0.4157282422447028, 0.0]","[1, 0.4157282422447028, 0.1824745218600782]","[0.0, 0.0, 0.1824745218600782]",0.1824745218600782,1.0,,,,,,,
0.0253536449397011,1,0,[1.],[-0.41572824  1.        ],"[1.0, 0.4157282422447028, 0.17282997139987027]","[1, 0.4157282422447028, 0.1824745218600782]","[0.0, 0.0, 0.009644550460207929]",0.009644550460207929,0.05285423061748526,2.4054175261236828,-2.4054175261236828,[1],,,0.0,[]
0.0278255940220712,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4083262241139249, 0.1762192299469532]","[0.0, 0.4083262241139249, 0.1762192299469532]",0.4083262241139249,1.0,,,,,,,
0.0278255940220712,0,1,[0.40832622 1.        ],[1.],"[1.0, 0.4083262241139249, 0.0]","[1, 0.4083262241139249, 0.1762192299469532]","[0.0, 0.0, 0.1762192299469532]",0.1762192299469532,1.0,,,,,,,
