w,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.1232846739442066,-3.4483930835535013,3.4483930835535013,1_0,,,0.0,0.0067520809681318,0.0743241744984839,1
0.1353047774579807,,,0_0,,,,0.2826092845046715,1.0,0
0.1353047774579807,,,0_1,,,,0.0864490086223306,1.0,1
0.1353047774579807,-3.538454165625511,3.538454165625511,1_0,,,0.0,0.0065810009340882,0.0761258114923981,1
0.1484968262254465,,,0_0,,,,0.2752323351390025,1.0,0
0.1484968262254465,,,0_1,,,,0.0821623985581118,1.0,1
0.1484968262254465,-3.6332940295512985,3.6332940295512985,1_0,,,0.0,0.0064095602520436,0.0780108707209935,1
0.1629750834620644,,,0_0,,,,0.2678599505978332,1.0,0
0.1629750834620644,,,0_1,,,,0.0779871804695046,1.0,1
0.1629750834620644,-3.733294200077738,3.733294200077738,1_0,,,0.0,0.0062382273352309,0.0799904201905376,1
0.1788649529057435,,,0_0,,,,0.2604928906048563,1.0,0
0.1788649529057435,,,0_1,,,,0.0739221674643252,1.0,1
0.1788649529057435,-3.8388763611860246,3.8388763611860246,1_0,,,0.0,0.0060656214086515,0.0820541607032671,1
0.1963040650040271,,,0_0,,,,0.2531320443570395,1.0,0
0.1963040650040271,,,0_1,,,,0.0699686605322062,1.0,1
0.1963040650040271,-3.950507343074719,3.950507343074719,1_0,,,0.0,0.0058928286518319,0.0842209727470707,1
0.2154434690031884,,,0_0,,,,0.2457784273466698,1.0,0
0.2154434690031884,,,0_1,,,,0.0661266824034028,1.0,1
0.2154434690031884,-4.0687053408048,4.0687053408048,1_0,,,0.0,0.0057196470544005,0.0864952973068891,1
0.2364489412645408,,,0_0,,,,0.2384332219564157,1.0,0
0.2364489412645408,,,0_1,,,,0.0623965111249038,1.0,1
0.2364489412645408,-4.194046415993131,4.194046415993131,1_0,,,0.0,0.0055461097923864,0.0888849343080151,1
0.2595024211399737,,,0_0,,,,0.2310977896426697,1.0,0
0.2595024211399737,,,0_1,,,,0.058778687646918,1.0,1
0.2595024211399737,-4.327172499339911,4.327172499339911,1_0,,,0.0,0.0053724992691903,0.0914021643603689,1
0.2848035868435802,,,0_0,,,,0.2237736981169569,1.0,0
0.2848035868435802,,,0_1,,,,0.0552731471685046,1.0,1
0.2848035868435802,-4.468800437294212,4.468800437294212,1_0,,,0.0,0.0051984791995656,0.094050718402512,1
0.3125715849688237,,,0_0,,,,0.2164627486880633,1.0,0
0.3125715849688237,,,0_1,,,,0.0518800689704766,1.0,1
0.3125715849688237,-4.619732522389171,4.619732522389171,1_0,,,0.0,0.0050239474008849,0.0968377163057344,1
0.3430469286314919,,,0_0,,,,0.2091670074307782,1.0,0
0.3430469286314919,,,0_1,,,,0.048599880167839,1.0,1
0.3430469286314919,-4.780868705266247,4.780868705266247,1_0,,,0.0,0.0048490431702917,0.0997747968420018,1
0.3764935806792469,,,0_0,,,,0.2018888385801438,1.0,0
0.3764935806792469,,,0_1,,,,0.045432636563187,1.0,1
